Date & Time,Payment Type,To/From Account,Account Name,Amount,Transaction ID,Fees,Tax,Balance,Reference
09/03/2025 17:45,MOMO USER,244176529,Kofi Ofori,-10.71,56045051627,1,0,726.29,Airtime
15/03/2025 10:46,MOMO USER,241000856,Kojo Boadu,-45.4,51797287071,0,0,680.89,Airtime
14/03/2025 14:57,MOMO USER,244454720,Kojo Boadu,-22.78,59240922739,1,0,657.11,Food
06/03/2025 20:18,MOMO USER,246307998,Kwesi Nyarko,-44.25,58696857712,0,0,612.86,Transport
27/03/2025 13:30,MOMO USER,278655693,Esi Forson,-38.3,58358601457,0.5,0,574.06,Groceries
17/03/2025 15:22,MOMO USER,246468928,Ama Kwarteng,-30.72,53682449125,1,0,542.34,Rent
24/03/2025 13:30,MOMO USER,248624524,Kofi Ofori,-11.7,56083982052,1,0,529.64,Rent
02/03/2025 12:16,MOMO USER,241549945,Abena Owusu,-22.44,51871604135,0.5,0,506.7,Transport
24/03/2025 11:36,MOMO USER,246772266,Yaw Ampofo,-16.23,57334683875,1,0,489.47,Transport
24/03/2025 22:16,MOMO USER,240080651,Prince Osei,-34.17,51655782370,0.5,0,454.8,Hospital
11/03/2025 21:18,MOMO USER,245555030,Esi Forson,-7.1,56615226823,0,0,447.7,Groceries
24/03/2025 12:27,MOMO USER,242587496,Efua Sarpong,-7.47,58108516696,0,0,440.23,Transport
07/03/2025 23:50,MOMO USER,248037899,Naana Essel,-27.95,51709856065,0,0,412.28,Transport
